Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Blade Itself,Joe Abercrombie,,9780575079793,paperback,read,2024/12/10,2025/01/10,2025/01/10,1,,,,,,,,,,,,,No
The Case of the Lonely Accountant,"Simon Mason, Simon Mason",,,,read,2024/12/17,2025/01/03,2025/01/03,1,,,,,,,,,,,,,No
Case Of The Lonely Accountant,Simon Mason,,,digital,read,2024/07/28,2025/01/03,2024/12/31-2025/01/03,1,"mysterious, reflective",medium,Plot,No,N/A,Yes,No,4.0,,,,empfehlung-mick-herron-guardian-newsletter,No
Consider Phlebas,Iain M. Banks,,9781857231380,paperback,read,2015/04/04,2024/12/31,"2024/12/31, 2015/08/19",2,,,,,,,,3.0,,,,,No
Complicity,Iain Banks,,9780349105710,paperback,read,2024/12/03,2024/12/03,2024/12/03,1,,,,,,,,,,,,,No
Christine,Stephen King,,,hardcover,read,2024/10/20,2024/11/21,2024/11/21,1,,,,,,,,,,,,,No
Elidor,Alan Garner,,,,read,2024/10/27,2024/11/03,2024/11/03,1,,,,,,,,,,,,,No
Red Shift,Alan Garner,,,paperback,read,2024/10/21,2024/10/27,2024/10/27,1,,,,,,,,,,,,,No
Stuart Little,"Garth Williams, E.B. White",,,,read,2020/11/22,2024/10/21,2024/10/21,1,,,,,,,,,,,,,No
Treacle Walker,Alan Garner,,9780008477790,hardcover,read,2024/10/20,2024/10/21,2024/10/21,1,,,,,,,,,,,,,No
House of Many Ways,Diana Wynne Jones,,9780061477959,hardcover,read,2024/10/18,2024/10/18,2024/10/18,1,,,,,,,,,,,,,No
Missing Person: Alice ,Simon Mason,,9781529425949,paperback,read,2024/07/28,2024/09/13,2024/09/13,1,,,,,,,,,,,,empfehlung-mick-herron-guardian-newsletter,No
Howl's Moving Castle,Diana Wynne Jones,,9780064410342,paperback,read,2023/09/16,2024/09/11,2024/09/11,1,,,,,,,,,,,,,No
Lost and Never Found,Simon Mason,,9781529425864,hardcover,read,2024/08/21,2024/08/21,2024/08/21,1,,,,,,,,,,,,,No
The Broken Afternoon,Simon Mason,,,digital,read,2024/08/14,2024/08/13,2024/08/13,1,,,,,,,,,,,,,No
A Killing in November,Simon Mason,,9781529415674,hardcover,read,2024/07/28,2024/08/08,2024/08/08,1,,,,,,,,,,,,empfehlung-mick-herron-guardian-newsletter,No
Tears of the Giraffe,Alexander McCall Smith,,9780748662739,paperback,read,2024/08/04,2024/08/04,2024/08/04,1,,,,,,,,,,,,,No
Daddy Was a Number Runner,Louise Meriwether,,9781558614420,paperback,read,2024/01/25,2024/07/24,2024/07/24,1,,,,,,,,,,,,,No
The No. 1 Ladies' Detective Agency,Alexander McCall Smith,,9781400034772,paperback,read,2024/07/21,2024/07/21,2024/07/21,1,,,,,,,,,,,,,No
